ID,NAME
2,Encounter
3,\ACT\Medications\
5,Encounter
6,\ACT\Medications\
8,Encounter
9,\ACT\Medications\
11,Encounter
12,\ACT\Medications\
14,Encounter
15,\ACT\Medications\
17,Encounter
18,\ACT\Medications\
20,Encounter
21,\ACT\Medications\
23,Encounter
24,\ACT\Medications\
26,Encounter
27,\ACT\Medications\
29,Encounter
30,\ACT\Medications\
32,Encounter
33,\ACT\Medications\
35,Encounter
36,\ACT\Medications\
38,Encounter
39,\ACT\Medications\
41,Encounter
42,\ACT\Medications\
44,Encounter
45,\ACT\Medications\
47,Encounter
48,\ACT\Medications\
50,Encounter
51,\ACT\Medications\
53,Encounter
54,\ACT\Medications\
56,Encounter
57,\ACT\Medications\
59,Encounter
60,\ACT\Medications\
62,Encounter
63,\ACT\Medications\
65,Encounter
66,\ACT\Medications\
68,Encounter
69,\ACT\Medications\
71,Encounter
72,\ACT\Medications\
74,Encounter
75,\ACT\Medications\
77,Encounter
78,\ACT\Medications\
80,Encounter
81,\ACT\Medications\
83,Encounter
84,\ACT\Medications\
86,Encounter
87,\ACT\Medications\
89,Encounter
90,\ACT\Medications\
92,Encounter
93,\ACT\Medications\
95,Encounter
96,\ACT\Medications\
98,Encounter
99,\ACT\Medications\
101,Encounter
102,\ACT\Medications\
104,Encounter
105,\ACT\Medications\
107,Encounter
108,\ACT\Medications\
110,Encounter
111,\ACT\Medications\
113,Encounter
114,\ACT\Medications\
116,Encounter
117,\ACT\Medications\
119,Encounter
120,\ACT\Medications\
122,Encounter
123,\ACT\Medications\
125,Encounter
126,\ACT\Medications\
128,Encounter
129,\ACT\Medications\
131,Encounter
132,\ACT\Medications\
134,Encounter
135,\ACT\Medications\
137,Encounter
138,\ACT\Medications\
140,Encounter
141,\ACT\Medications\
143,Encounter
144,\ACT\Medications\
146,Encounter
147,\ACT\Medications\
149,Encounter
150,\ACT\Medications\
152,Encounter
153,\ACT\Medications\
155,Encounter
156,\ACT\Medications\
158,Encounter
159,\ACT\Medications\
161,Encounter
162,\ACT\Medications\
164,Encounter
165,\ACT\Medications\
167,Encounter
168,\ACT\Medications\
170,Encounter
171,\ACT\Medications\
173,Encounter
174,\ACT\Medications\
176,Encounter
177,\ACT\Medications\
179,Encounter
180,\ACT\Medications\
182,Encounter
183,\ACT\Medications\
185,Encounter
186,\ACT\Medications\
188,Encounter
189,\ACT\Medications\
191,Encounter
192,\ACT\Medications\
194,Encounter
195,\ACT\Medications\
197,Encounter
198,\ACT\Medications\
200,Encounter
201,\ACT\Medications\
203,Encounter
204,\ACT\Medications\
206,Encounter
207,\ACT\Medications\
209,Encounter
210,\ACT\Medications\
212,Encounter
213,\ACT\Medications\
215,Encounter
216,\ACT\Medications\
218,Encounter
219,\ACT\Medications\
221,Encounter
222,\ACT\Medications\
224,Encounter
225,\ACT\Medications\
227,Encounter
228,\ACT\Medications\
230,Encounter
231,\ACT\Medications\
233,Encounter
234,\ACT\Medications\
236,Encounter
237,\ACT\Medications\
239,Encounter
240,\ACT\Medications\
242,Encounter
243,\ACT\Medications\
245,Encounter
246,\ACT\Medications\
248,Encounter
249,\ACT\Medications\
251,Encounter
252,\ACT\Medications\
254,Encounter
255,\ACT\Medications\
257,Encounter
258,\ACT\Medications\
260,Encounter
261,\ACT\Medications\
263,Encounter
264,\ACT\Medications\
266,Encounter
267,\ACT\Medications\
269,Encounter
270,\ACT\Medications\
272,Encounter
273,\ACT\Medications\
275,Encounter
276,\ACT\Medications\
278,Encounter
279,\ACT\Medications\
281,Encounter
282,\ACT\Medications\
284,Encounter
285,\ACT\Medications\
287,Encounter
288,\ACT\Medications\
290,Encounter
291,\ACT\Medications\
293,Encounter
294,\ACT\Medications\
296,Encounter
297,\ACT\Medications\
299,Encounter
300,\ACT\Medications\
302,Encounter
303,\ACT\Medications\
305,Encounter
306,\ACT\Medications\
308,Encounter
309,\ACT\Medications\
311,Encounter
312,\ACT\Medications\
314,Encounter
315,\ACT\Medications\
317,Encounter
318,\ACT\Medications\
320,Encounter
321,\ACT\Medications\
323,Encounter
324,\ACT\Medications\
326,Encounter
327,\ACT\Medications\
329,Encounter
330,\ACT\Medications\
332,Encounter
333,\ACT\Medications\
335,Encounter
336,\ACT\Medications\
338,Encounter
339,\ACT\Medications\
341,Encounter
342,\ACT\Medications\
344,Encounter
345,\ACT\Medications\
347,Encounter
348,\ACT\Medications\
350,Encounter
351,\ACT\Medications\
353,Encounter
354,\ACT\Medications\
356,Encounter
357,\ACT\Medications\
359,Encounter
360,\ACT\Medications\
362,Encounter
363,\ACT\Medications\
365,Encounter
366,\ACT\Medications\
368,Encounter
369,\ACT\Medications\
